distrito,ano,ocorrencias
BARCARENA,2010,359
VILA DOS CABANOS,2010,515
BARCARENA,2011,272
VILA DOS CABANOS,2011,294
BARCARENA,2012,212
VILA DOS CABANOS,2012,172
BARCARENA,2013,271
MURUCUPI,2013,1
VILA DOS CABANOS,2013,214
BARCARENA,2014,312
VILA DOS CABANOS,2014,182
BARCARENA,2015,207
VILA DOS CABANOS,2015,224
BARCARENA,2016,182
MURUCUPI,2016,1
VILA DOS CABANOS,2016,178
BARCARENA,2017,176
VILA DOS CABANOS,2017,139
BARCARENA,2018,437
MURUCUPI,2018,1
VILA DOS CABANOS,2018,32
BARCARENA,2019,580
VILA DOS CABANOS,2019,11
BARCARENA,2020,518
ILHA DAS ONCA,2020,3
MURUCUPI,2020,3
VILA DO CONDE,2020,10
VILA DOS CABANOS,2020,93
BARCARENA,2021,605
ILHA DAS ONCA,2021,2
MURUCUPI,2021,5
VILA DO CONDE,2021,17
VILA DOS CABANOS,2021,96
