distrito,ano,ocorrencias,descricao
Barcarena (Sede),2010,359,"Centro, Pedreira, Vila dos Cabanos, Zona Rural e Outros"
Barcarena (Sede),2011,272,"Pedreira e Zona Rural"
Barcarena (Sede),2012,212,"Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2013,271,"Betania, Imobiliaria, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural "
Barcarena (Sede),2014,312,"Betania, Centro, Comercial, Imobiliaria, NOVO 01, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2015,207,"Betania, Centro, Comercial, Imobiliaria, NOVO 01, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2016,182,"Centro, Betania, Comercial, Imobiliaria, NOVO 01, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2017,176,"Centro, Betania, Comercial, Imobiliaria, NOVO 01, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2018,437,"Centro, Betania, Imobiliaria, NOVO 01, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2019,580,"Centro, Betania, NOVO 01, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2020,518,"Centro, Betania, Comercial, Imobiliaria, NOVO 01, NOVO 02, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2021,605
Ilhas,2010,0,"Sem ocorrências registradas"
Ilhas,2011,0,"Sem ocorrências registradas"
Ilhas,2012,0,"Sem ocorrências registradas"
Ilhas,2013,0,"Sem ocorrências registradas"
Ilhas,2014,0,"Sem ocorrências registradas"
Ilhas,2015,0,"Sem ocorrências registradas"
Ilhas,2016,0,"Sem ocorrências registradas"
Ilhas,2017,0,"Sem ocorrências registradas"
Ilhas,2018,0,"Sem ocorrências registradas"
Ilhas,2019,0,"Sem ocorrências registradas"
Ilhas,2020,3,"Localidade na Ilhas das Onças"
Ilhas,2021,2,"Localidade na Ilhas das Onças"
Vila do Conde,2010,0,"Sem ocorrências registradas"
Vila do Conde,2011,0,"Sem ocorrências registradas"
Vila do Conde,2012,0,"Sem ocorrências registradas"
Vila do Conde,2013,0,"Sem ocorrências registradas"
Vila do Conde,2014,0,"Sem ocorrências registradas"
Vila do Conde,2015,0,"Sem ocorrências registradas"
Vila do Conde,2016,0,"Sem ocorrências registradas"
Vila do Conde,2017,0,"Sem ocorrências registradas"
Vila do Conde,2018,0,"Sem ocorrências registradas"
Vila do Conde,2019,0,"Sem ocorrências registradas"
Vila do Conde,2020,10,"Centro"
Vila do Conde,2021,17,
Murucupi,2010,515,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2011,294,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2012,172,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2013,215,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2014,182,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2015,224,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2016,179,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2017,139,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2018,33,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2019,11,"Vila dos Cabanos, Centro e Outros"
Murucupi,2020,96,"Vila dos Cabanos, Centro, Jardim Cabano, Pioneiro e Outros"
Murucupi,2021,101,"Vila dos Cabanos"
Estradas,2010,0,"Sem ocorrências registradas"
Estradas,2011,0,"Sem ocorrências registradas"
Estradas,2012,0,"Sem ocorrências registradas"
Estradas,2013,0,"Sem ocorrências registradas"
Estradas,2014,0,"Sem ocorrências registradas"
Estradas,2015,0,"Sem ocorrências registradas"
Estradas,2016,0,"Sem ocorrências registradas"
Estradas,2017,0,"Sem ocorrências registradas"
Estradas,2018,0,"Sem ocorrências registradas"
Estradas,2019,0,"Sem ocorrências registradas"
Estradas,2020,0,"Sem ocorrências registradas"
Estradas,2021,0,"Sem ocorrências registradas"
