distrito,ano,ocorrencias,descricao
Barcarena (Sede),2010,9,"Outros"
Barcarena (Sede),2011,14,"Centro e Zona Rural"
Barcarena (Sede),2012,17,"Centro, Pedreira, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2013,17,"Centro e Zona Rural "
Barcarena (Sede),2014,14,"BETANIA, Centro, Imobiliaria, Pedreira e Zona Rural"
Barcarena (Sede),2015,13,"NOVO 01 e Pedreira"
Barcarena (Sede),2016,10,"Centro, Pedreira e Zona Rural"
Barcarena (Sede),2017,3,"Vila dos Cabanos"
Barcarena (Sede),2018,27,"Centro, Vila dos Cabanos e Zona Rural"
Barcarena (Sede),2019,20,"Centro e Vila dos Cabanos"
Barcarena (Sede),2020,17,"Centro e Vila dos Cabanos"
Barcarena (Sede),2021,21,
Murucupi,2010,26,"Vila dos Cabanos, Centro e Outros"
Murucupi,2011,24,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2012,12,"Vila dos Cabanos e Outros"
Murucupi,2013,17,"Vila dos Cabanos, Centro e Outros"
Murucupi,2014,12,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2015,24,"Vila dos Cabanos, Centro, Pioneiro e Outros"
Murucupi,2016,7,"Vila dos Cabanos, Centro e Outros"
Murucupi,2017,16,"Vila dos Cabanos, Centro e Outros"
Murucupi,2018,0,"Sem ocorrências registradas"
Murucupi,2019,0,"Sem ocorrências registradas"
Murucupi,2020,0,"Sem ocorrências registradas"
Murucupi,2021,0,"Sem ocorrências registradas"
Ilhas,2010,0,"Sem ocorrências registradas"
Ilhas,2011,0,"Sem ocorrências registradas"
Ilhas,2012,0,"Sem ocorrências registradas"
Ilhas,2013,0,"Sem ocorrências registradas"
Ilhas,2014,0,"Sem ocorrências registradas"
Ilhas,2015,0,"Sem ocorrências registradas"
Ilhas,2016,0,"Sem ocorrências registradas"
Ilhas,2017,0,"Sem ocorrências registradas"
Ilhas,2018,0,"Sem ocorrências registradas"
Ilhas,2019,0,"Sem ocorrências registradas"
Ilhas,2020,0,"Sem ocorrências registradas"
Ilhas,2021,0,"Sem ocorrências registradas"
Estradas,2010,0,"Sem ocorrências registradas"
Estradas,2011,0,"Sem ocorrências registradas"
Estradas,2012,0,"Sem ocorrências registradas"
Estradas,2013,0,"Sem ocorrências registradas"
Estradas,2014,0,"Sem ocorrências registradas"
Estradas,2015,0,"Sem ocorrências registradas"
Estradas,2016,0,"Sem ocorrências registradas"
Estradas,2017,0,"Sem ocorrências registradas"
Estradas,2018,0,"Sem ocorrências registradas"
Estradas,2019,0,"Sem ocorrências registradas"
Estradas,2020,0,"Sem ocorrências registradas"
Estradas,2021,0,"Sem ocorrências registradas"
Vila do Conde,2010,0,"Sem ocorrências registradas"
Vila do Conde,2011,0,"Sem ocorrências registradas"
Vila do Conde,2012,0,"Sem ocorrências registradas"
Vila do Conde,2013,0,"Sem ocorrências registradas"
Vila do Conde,2014,0,"Sem ocorrências registradas"
Vila do Conde,2015,0,"Sem ocorrências registradas"
Vila do Conde,2016,0,"Sem ocorrências registradas"
Vila do Conde,2017,0,"Sem ocorrências registradas"
Vila do Conde,2018,0,"Sem ocorrências registradas"
Vila do Conde,2019,0,"Sem ocorrências registradas"
Vila do Conde,2020,0,"Sem ocorrências registradas"
Vila do Conde,2021,0,"Sem ocorrências registradas"
