ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JUNHO,QUA,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:51:00
2019,MAIO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:52:00
2019,OUTUBRO,SEG,OUTROS,VILA DOS CABANOS,RESIDENCIA PARTICULAR,,,19:00:00
2019,NOVEMBRO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",04:00:00
2019,OUTUBRO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",17:45:00
2019,ABRIL,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:15:00
2019,FEVEREIRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:10:00
2019,AGOSTO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,20:00:00
2019,NOVEMBRO,QUI,NOVO 01,BARCARENA,RESIDENCIA PARTICULAR,,,11:01:00
2019,JANEIRO,QUA,BARCARENA,BARCARENA,VIA PUBLICA,,,14:44:00
2019,JUNHO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5291367","-48,622945",01:00:00
2019,ABRIL,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2019,ABRIL,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,07:00:00
2019,MAIO,SEX,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:57:00
2019,FEVEREIRO,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",18:25:00
2019,FEVEREIRO,SEX,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,15:00:00
2019,JANEIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:07:00
2019,FEVEREIRO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,4966705","-48,6152867",19:30:00
2019,ABRIL,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",05:00:00
2020,OUTUBRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",21:00:00
2020,SETEMBRO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",11:00:00
2020,AGOSTO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:55:00
2020,AGOSTO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:55:00
2020,JUNHO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:44:00
2020,OUTUBRO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,06:45:00
2020,NOVEMBRO,QUI,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2020,AGOSTO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,12:13:00
2020,MARCO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,-1.5671921,-48.7570429,05:20:00
2020,FEVEREIRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,-1.4996765,-48.6184419,04:00:00
2020,OUTUBRO,QUA,BARCARENA,BARCARENA,"HOTEL, PENSAO, ETC",,,11:15:00
2020,NOVEMBRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,11:23:00
2020,JULHO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,VIA PUBLICA,,,10:30:00
2020,SETEMBRO,DOM,BARCARENA,BARCARENA,TERRENO BALDIO,,,20:30:00
2020,NOVEMBRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,06:30:00
2020,JUNHO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:44:00
2020,JANEIRO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,05:00:00
2020,MARCO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:00:00
2020,FEVEREIRO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:23:00
2020,MAIO,SAB,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2020,FEVEREIRO,QUI,ZONA RURAL DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:23:00
2020,JANEIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:48:00
2020,JULHO,DOM,VILA DOS CABANOS,BARCARENA,OUTROS,"-1,539235","-48,613685",19:00:00
2021,FEVEREIRO,SAB,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",19:00:00
2021,AGOSTO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",12:30:00
2021,JUNHO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",10:55:00
2021,MAIO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5673518044624668","-48,75654101371766",08:30:00
2021,SETEMBRO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",23:00:00
2021,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",10:30:00
2021,OUTUBRO,DOM,VILA DOS CABANOS,BARCARENA,OUTROS,"-1,5077179","-48,6222375",03:30:00
2021,AGOSTO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",14:30:00
2021,JULHO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",07:30:00
2021,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",07:00:00
2021,OUTUBRO,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",00:00:00
2021,JUNHO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",10:55:00
2021,MARCO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",19:30:00
