ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JANEIRO,SAB,VILA DOS CABANOS,BARCARENA,CASA COMERCIAL,"-1,5077179","-48,6222375",02:30:00
2019,JUNHO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,507356302","-48,62295091",21:40:00
2019,MARCO,TER,VILA DOS CABANOS,BARCARENA,OUTROS,"-1,5176983","-48,6313683",09:00:00
2019,AGOSTO,SEX,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",11:30:00
2019,DEZEMBRO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",21:00:00
2019,FEVEREIRO,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",14:05:00
2019,JUNHO,TER,CENTRO DE BARCARENA,BARCARENA,CASA COMERCIAL,"-1,512231231","-48,61995316",03:00:00
2019,JUNHO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",06:00:00
2019,DEZEMBRO,QUA,VILA DOS CABANOS,BARCARENA,OUTROS,"-1,5733267","-48,7663967",19:00:00
2019,JUNHO,TER,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,19:30:00
2019,MARCO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,04:00:00
2019,JANEIRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,13:45:00
2019,JANEIRO,SEG,PEDREIRA,BARCARENA,OUTROS,,,03:00:00
2019,JANEIRO,QUI,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,08:00:00
2019,JANEIRO,DOM,OUTROS,VILA DOS CABANOS,ESTABELECIMENTO DE ENSINO,,,06:50:00
2019,JANEIRO,QUI,PIONEIRO,VILA DOS CABANOS,RESIDENCIA PARTICULAR,,,03:00:00
2019,JANEIRO,QUI,BETANIA,BARCARENA,VIA PUBLICA,,,02:00:00
2019,JANEIRO,DOM,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,01:00:00
2019,JANEIRO,SEX,BARCARENA,BARCARENA,OUTROS,,,01:49:00
2019,JANEIRO,SEG,VILA DOS CABANOS,BARCARENA,CASA COMERCIAL,,,22:00:00
2019,JANEIRO,QUA,BARCARENA,BARCARENA,OUTROS,,,09:00:00
2019,JANEIRO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,18:00:00
2019,FEVEREIRO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2019,FEVEREIRO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,03:00:00
2019,MARCO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,10:00:00
2019,MARCO,SEG,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,15:00:00
2019,FEVEREIRO,TER,PIONEIRO,VILA DOS CABANOS,VIA PUBLICA,,,09:00:00
2019,FEVEREIRO,TER,CENTRO DE BARCARENA,VILA DOS CABANOS,VIA PUBLICA,,,09:12:00
2019,MARCO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,10:00:00
2019,MARCO,SEX,CENTRO DE BARCARENA,MURUCUPI,OUTROS,,,00:07:00
2019,MARCO,SEX,VILA DOS CABANOS,BARCARENA,OUTROS,,,01:00:00
2019,MARCO,SEG,OUTROS,VILA DOS CABANOS,CASA DE TOLERANCIA,,,00:30:00
2019,MARCO,QUA,BARCARENA,BARCARENA,ESTABELECIMENTO DE ENSINO,,,13:30:00
2019,MARCO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,,,12:00:00
2019,FEVEREIRO,SEX,CENTRO DE BARCARENA,VILA DOS CABANOS,VIA PUBLICA,,,15:22:00
2019,SETEMBRO,SAB,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:00:00
2019,FEVEREIRO,QUI,CENTRO DE BARCARENA,MURUCUPI,OUTROS,,,22:00:00
2019,FEVEREIRO,SEX,BARCARENA,BARCARENA,OUTROS,,,17:30:00
2019,FEVEREIRO,QUI,BETANIA,BARCARENA,VIA PUBLICA,,,03:00:00
2019,JUNHO,QUI,CENTRO DE BARCARENA,MURUCUPI,INDUSTRIA,,,17:20:00
2019,ABRIL,SAB,COMERCIAL,BARCARENA,VIA PUBLICA,,,22:00:00
2019,MAIO,SAB,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,21:35:00
2019,JUNHO,SEX,PEDREIRA,BARCARENA,RESIDENCIA PARTICULAR,,,09:00:00
2019,MARCO,TER,VILA DOS CABANOS,BARCARENA,"CAFE,BAR,ETC",,,15:09:00
2019,JUNHO,QUA,OUTROS,VILA DOS CABANOS,"HOTEL, PENSAO, ETC",,,12:30:00
2019,JUNHO,SAB,CENTRO DE BARCARENA,MURUCUPI,INDUSTRIA,,,10:15:00
2019,JUNHO,SEG,CENTRO DE BARCARENA,MURUCUPI,OUTROS,,,00:30:00
2019,JUNHO,SEX,CENTRO DE BARCARENA,VILA DOS CABANOS,VIA PUBLICA,,,13:25:00
2019,MAIO,QUI,CENTRO DE BARCARENA,VILA DOS CABANOS,CASA DE TOLERANCIA,,,11:55:00
2019,MAIO,QUI,OUTROS,VILA DOS CABANOS,OUTROS,,,13:40:00
2019,JUNHO,SEX,BARCARENA,BARCARENA,OUTROS,,,21:00:00
2019,JUNHO,SEX,BARCARENA,BARCARENA,OUTROS,,,21:00:00
2019,JUNHO,QUA,CENTRO DE BARCARENA,MURUCUPI,HOSPITAL,,,16:45:00
2019,JUNHO,QUA,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,19:45:00
2019,MAIO,QUI,OUTROS,VILA DOS CABANOS,TERRENO BALDIO,,,18:00:00
2019,JUNHO,SAB,OUTROS,VILA DOS CABANOS,RESIDENCIA PARTICULAR,,,10:00:00
2019,JUNHO,SEG,CENTRO DE BARCARENA,MURUCUPI,INDUSTRIA,,,00:07:00
2019,JUNHO,SEG,CENTRO DE BARCARENA,MURUCUPI,INDUSTRIA,,,00:07:00
2019,MAIO,QUA,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,10:00:00
2019,JUNHO,SEG,CENTRO DE BARCARENA,MURUCUPI,INDUSTRIA,,,00:07:00
2019,JUNHO,SEX,OUTROS,VILA DOS CABANOS,ESTABELECIMENTO BANCARIO,,,16:50:00
2019,JUNHO,SEG,CENTRO DE BARCARENA,MURUCUPI,OUTROS,,,00:16:00
2019,JULHO,SAB,OUTROS,VILA DOS CABANOS,RESIDENCIA PARTICULAR,,,23:59:00
2019,JULHO,QUA,PIONEIRO,VILA DOS CABANOS,OUTROS,,,00:30:00
2019,JULHO,QUA,OUTROS,VILA DOS CABANOS,RESIDENCIA PARTICULAR,,,02:00:00
2019,JULHO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,14:00:00
2019,JUNHO,QUA,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,04:00:00
2019,JUNHO,QUI,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,04:00:00
2019,JULHO,DOM,OUTROS,VILA DOS CABANOS,OUTROS,,,17:15:00
2019,JULHO,DOM,CENTRO DE BARCARENA,MURUCUPI,RESIDENCIA PARTICULAR,,,15:00:00
2019,ABRIL,SEG,CENTRO DE BARCARENA,VILA DOS CABANOS,OUTROS,,,21:00:00
2019,ABRIL,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,09:30:00
2019,ABRIL,SEG,CENTRO DE BARCARENA,VILA DOS CABANOS,ESTABELECIMENTO BANCARIO,,,13:00:00
