ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,OUTUBRO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",13:20:00
2019,SETEMBRO,SAB,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",18:00:00
2019,JUNHO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",20:00:00
2019,NOVEMBRO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5671921","-48,7570429",09:30:00
2019,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",16:00:00
2019,NOVEMBRO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",16:00:00
2019,ABRIL,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,566879912","-48,75653028",17:00:00
2019,MARCO,QUI,CENTRO DE BARCARENA,BARCARENA,CASA COMERCIAL,"-1,512231231","-48,61995316",21:00:00
2019,MARCO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",20:15:00
2019,JULHO,SEX,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512086076","-48,617962",20:00:00
2019,FEVEREIRO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",22:00:00
2019,DEZEMBRO,QUA,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",08:15:00
2019,ABRIL,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",04:00:00
2019,AGOSTO,SAB,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",11:30:00
2019,JUNHO,QUA,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,566933536","-48,75875652",23:00:00
2019,OUTUBRO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",09:00:00
2019,NOVEMBRO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",22:00:00
2019,FEVEREIRO,QUI,VILA DOS CABANOS,BARCARENA,PROPRIEDADE AGROPASTORIL,"-1,568628058","-48,75544667",12:00:00
2019,JUNHO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,567099771","-48,75757635",22:00:00
2019,JUNHO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,566820926","-48,75804842",09:00:00
2019,ABRIL,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",20:00:00
2019,JULHO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5671921","-48,7570429",16:00:00
2019,JULHO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,50741529","-48,6228919",03:00:00
2019,AGOSTO,QUI,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",20:00:00
2019,JULHO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5359967","-48,6391717",10:00:00
2019,JULHO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",19:20:00
2019,JUNHO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5474017","-48,57588",17:30:00
2019,MARCO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",22:05:00
2019,MARCO,DOM,VILA DOS CABANOS,BARCARENA,TERRENO BALDIO,"-1,5688467","-48,6101567",06:00:00
2019,NOVEMBRO,TER,VILA DOS CABANOS,BARCARENA,"CAFE, BAR, RESTAURANTE","-1,5069499","-48,621702",13:40:00
2019,JANEIRO,QUA,VILA DOS CABANOS,BARCARENA,PROPRIEDADE AGROPASTORIL,"-1,5661398992252655","-48,753413558006294",16:00:00
2019,SETEMBRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",21:30:00
2019,JUNHO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",23:50:00
2019,SETEMBRO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,500359","-48,621393",08:00:00
2019,ABRIL,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,567207019","-48,7555325",09:00:00
2019,JULHO,SEX,VILA DOS CABANOS,BARCARENA,CASA COMERCIAL,"-1,5077179","-48,6222375",21:55:00
2019,FEVEREIRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,4996765","-48,6184419",13:00:00
2019,MARCO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",04:00:00
2020,SETEMBRO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,56729330528376","-48,75615282486251",16:00:00
2020,JULHO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",12:15:00
2020,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,4966705","-48,6152867",00:00:00
2020,JULHO,QUI,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",22:00:00
2020,JULHO,QUI,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,4980662","-48,6147575",08:30:00
2020,JUNHO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5669388987746","-48,756401538849",12:30:00
2020,AGOSTO,SEX,VILA DOS CABANOS,BARCARENA,TERRENO BALDIO,"-1,5077179","-48,6222375",17:00:00
2020,SETEMBRO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",13:00:00
2020,SETEMBRO,QUA,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5671921","-48,7570429",14:30:00
2020,NOVEMBRO,QUI,VILA DOS CABANOS,BARCARENA,LOGRADORO PUBLICO,"-1,5669442611866102","-48,756911158561714",06:00:00
2020,JULHO,QUI,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",22:00:00
2020,MAIO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",01:05:00
2020,OUTUBRO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5673196299962064","-48,75571489334107",21:40:00
2020,JANEIRO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",23:00:00
2020,MARCO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",07:00:00
2020,OUTUBRO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5673196299962064","-48,75571489334107",21:40:00
2020,DEZEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",20:00:00
2020,SETEMBRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5051966","-48,6159363",20:30:00
2020,MAIO,SEG,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",01:05:00
2020,MAIO,DOM,CENTRO DE BARCARENA,BARCARENA,HOSPITAL,"-1,512231231","-48,619953156",17:30:00
