ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JANEIRO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5668438","-48,7677658",22:00:00
2019,AGOSTO,SAB,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",22:30:00
2019,OUTUBRO,SEG,VILA DOS CABANOS,BARCARENA,OUTROS,"-1,507364047","-48,6229527",14:30:00
2019,ABRIL,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,567684274","-48,75655711",23:00:00
2019,JUNHO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5613445","-48,5063585",22:00:00
2020,JUNHO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",19:30:00
2020,FEVEREIRO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,43644","-48,64526",13:40:00
2020,MARCO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,51295","-48,69340",17:00:00
2021,MARCO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",09:00:00
2023,ABRIL,DOM,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",17:00:00
2023,JANEIRO,QUA,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",23:23:00
2024,MARCO,TER,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",19:00:00
