ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,MAIO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,6029467","-48,5598233",08:00:00
2019,OUTUBRO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",11:40:00
2019,OUTUBRO,QUA,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,61995316",19:00:00
2019,ABRIL,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",20:20:00
2019,OUTUBRO,SEX,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",06:00:00
2019,SETEMBRO,DOM,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,507381923","-48,62303615",19:00:00
2019,JULHO,QUA,VILA DOS CABANOS,BARCARENA,OUTROS,"-1,500359","-48,621393",21:00:00
2019,AGOSTO,SAB,BARCARENA,BARCARENA,TRANSPORTE,,,06:39:00
2019,JULHO,TER,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",18:20:00
2019,AGOSTO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",10:00:00
2019,JANEIRO,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,"-1,512231231","-48,619953156",17:50:00
2019,MARCO,SAB,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,566890637","-48,75901937",21:30:00
2019,JANEIRO,QUI,VILA DOS CABANOS,BARCARENA,RESIDENCIA PARTICULAR,"-1,5077179","-48,6222375",15:00:00
2019,FEVEREIRO,SAB,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:15:00
2019,MAIO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:35:00
2019,AGOSTO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:52:00
2019,JANEIRO,SEG,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,07:30:00
2019,AGOSTO,TER,BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,13:40:00
2019,ABRIL,TER,CENTRO DE BARCARENA,BARCARENA,RESIDENCIA PARTICULAR,,,14:57:00
2019,AGOSTO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",09:30:00
2019,NOVEMBRO,SAB,CENTRO DE BARCARENA,BARCARENA,OUTROS,"-1,512231231","-48,61995316",18:00:00
