ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,DEZEMBRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",05:40:00
2019,JANEIRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,539235","-48,613685",23:30:00
2019,MAIO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,6029467","-48,5598233",17:00:00
2019,FEVEREIRO,SEX,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",17:00:00
2020,MAIO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",00:00:00
2020,AGOSTO,SAB,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",05:30:00
2020,SETEMBRO,SAB,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",20:00:00
2020,ABRIL,DOM,VILA DOS CABANOS,BARCARENA,LOGRADORO PUBLICO,"-1,5668423753552578","-48,75621378421784",22:30:00
2020,SETEMBRO,SEX,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",22:00:00
2020,MAIO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,501494","-48,6216774",12:20:00
2020,MARCO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,-1.6711217,-48.6299467,22:15:00
2020,SETEMBRO,SAB,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",17:30:00
2020,DEZEMBRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",01:30:00
2020,JUNHO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",21:00:00
2021,MAIO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,6789917","-48,5964317",19:00:00
2021,JULHO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,4966705","-48,6152867",01:00:00
2021,MAIO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",07:30:00
2021,NOVEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",16:35:00
2021,JULHO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",17:00:00
2022,NOVEMBRO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,539235","-48,613685",20:00:00
2022,JANEIRO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",18:15:00
2022,FEVEREIRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",01:30:00
2023,DEZEMBRO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5282717","-48,64037",21:00:00
2023,AGOSTO,SEG,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,521335","-48,6619283",01:00:00
2023,MAIO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",01:45:00
2023,JANEIRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",23:30:00
2024,SETEMBRO,DOM,CENTRO DE BARCARENA,BARCARENA,RIO,"-1,512231231","-48,619953156",21:30:00
2024,JULHO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",21:00:00
2024,JULHO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",17:30:00
2024,JULHO,SEG,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,619953156",17:30:00
2024,OUTUBRO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",09:00:00
2024,OUTUBRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,500909","-48,6206519",09:00:00
2024,DEZEMBRO,SEG,CENTRO DE BARCARENA,BARCARENA,HOSPITAL,"-1,512231231","-48,619953156",01:40:00
