ano,mes,dia,bairro,distrito,local_ocorrencia,latitude,longitude,horafato
2019,JANEIRO,TER,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,07:11:00
2019,JANEIRO,TER,PEDREIRA,BARCARENA,VIA PUBLICA,,,15:00:00
2019,FEVEREIRO,SAB,OUTROS,VILA DOS CABANOS,VIA PUBLICA,,,01:00:00
2019,FEVEREIRO,SAB,COMERCIAL,BARCARENA,VIA PUBLICA,,,11:30:00
2019,MARCO,QUI,CENTRO DE BARCARENA,VILA DOS CABANOS,VIA PUBLICA,,,14:00:00
2019,MARCO,SEX,CENTRO DE BARCARENA,VILA DOS CABANOS,VIA PUBLICA,,,19:00:00
2019,MARCO,QUA,ZONA RURAL DE BARCARENA,BARCARENA,OUTROS,,,13:45:00
2019,ABRIL,TER,VILA DOS CABANOS,BARCARENA,TRANSPORTE,,,15:15:00
2019,MAIO,SEG,IMOBILIARIA,BARCARENA,VIA PUBLICA,,,15:35:00
2019,SETEMBRO,SAB,VILA DOS CABANOS,BARCARENA,OUTROS,,,22:00:00
2019,MAIO,TER,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,,,22:30:00
2019,MAIO,SEG,ZONA RURAL DE BARCARENA,BARCARENA,TRANSPORTE,,,09:52:00
2019,JULHO,SAB,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",19:35:00
2019,JULHO,DOM,BARCARENA,BARCARENA,VIA PUBLICA,,,12:30:00
2019,FEVEREIRO,TER,CENTRO DE BARCARENA,BARCARENA,TRANSPORTE,"-1,512231231","-48,61995316",10:30:00
2019,SETEMBRO,DOM,VILA DOS CABANOS,BARCARENA,"MAR, RIO, LAGOA","-1,507322339","-48,62296462",06:00:00
2019,SETEMBRO,DOM,CENTRO DE BARCARENA,BARCARENA,LOGRADORO PUBLICO,"-1,512231231","-48,61995316",00:00:00
2019,JULHO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",20:55:00
2019,JUNHO,TER,BARCARENA,BARCARENA,VIA PUBLICA,,,12:30:00
2019,AGOSTO,SEX,VILA DOS CABANOS,BARCARENA,"CAFE, BAR, RESTAURANTE","-1,507340214","-48,62306356",02:00:00
2019,SETEMBRO,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,507495132","-48,62261891",08:00:00
2019,SETEMBRO,QUA,VILA DOS CABANOS,BARCARENA,ESTABELECIMENTO DE ENSINO,"-1,50742959","-48,62288117",07:00:00
2019,JUNHO,TER,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",09:00:00
2019,AGOSTO,SAB,BARCARENA,BARCARENA,VIA PUBLICA,,,00:15:00
2019,AGOSTO,TER,VILA DOS CABANOS,BARCARENA,RESTAURANTE ,,,13:30:00
2019,OUTUBRO,SEG,VILA DOS CABANOS,BARCARENA,OUTROS,,,07:20:00
2019,SETEMBRO,DOM,BARCARENA,BARCARENA,OUTROS,,,16:30:00
2019,ABRIL,SAB,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",10:30:00
2019,MARCO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",20:00:00
2019,JULHO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",19:30:00
2019,JULHO,TER,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5077179","-48,6222375",20:00:00
2019,SETEMBRO,DOM,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5366383","-48,6284483",21:00:00
2019,JULHO,SEG,VILA DOS CABANOS,BARCARENA,CONSELHO FISCAL DE PESCA,"-1,501574478","-48,62350247",18:30:00
2019,JULHO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,"-1,5176983","-48,6313683",12:00:00
2019,JUNHO,SEX,VILA DOS CABANOS,BARCARENA,VIA PUBLICA,,,11:00:00
2019,AGOSTO,SEX,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",10:15:00
2019,MAIO,SEX,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",16:00:00
2019,OUTUBRO,DOM,CENTRO DE BARCARENA,BARCARENA,VIA PUBLICA,"-1,512231231","-48,61995316",10:30:00
